date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
5/18/2023,1,Ella Baila Sola,Eslabon Armado,89,165671,album,16,4/28/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
5/18/2023,2,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,1,4/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
5/18/2023,3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,3/17/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
5/18/2023,4,Cupid - Twin Ver.,FIFTY FIFTY,97,174253,single,3,2/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
5/18/2023,5,Flowers,Miley Cyrus,91,200600,album,13,3/10/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
5/18/2023,6,Daylight,David Kushner,96,212953,single,1,4/14/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
5/18/2023,7,Kill Bill,SZA,94,153946,album,23,12/8/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
5/18/2023,8,Tattoo,Loreen,89,183374,single,1,2/25/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
5/18/2023,9,As It Was,Harry Styles,92,167303,album,13,5/20/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
5/18/2023,10,TQG,KAROL G,96,197933,album,17,2/24/2023,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
5/18/2023,11,Cha Cha Cha,Käärijä,86,175161,single,1,1/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273e9973a2290bd5d88c6aad387
